student,currProb,course,session,priorTutorAction,reward,0,1,2,3,4,5,6,7
0006-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,0,1,1,0,0,1,1,2
0006-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,0,1,2,0,0,1,1,2
0006-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,0,1,0,0,0,1,1,2
0006-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-94.0789473684,0,1,2,0,0,1,1,1
0006-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,0,1,1,0,0,1,1,2
0006-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,0,1,2,0,1,1,1,2
0006-F14,2.1.3.0,226-001-BARNES-F14,1,PS,161.8100398054,0,1,2,0,1,1,1,1
0006-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0,0,1,1,0,1,1,1,2
0006-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,0,1,2,0,1,1,1,2
0006-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-43.2650730195,0,1,1,0,1,1,1,1
0006-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0,0,1,2,0,0,1,1,2
0006-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0,0,1,2,0,0,1,1,2
0006-F14,4.1.3.0,226-001-BARNES-F14,1,PS,-41.6088765603,0,1,0,0,0,1,1,2
0006-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0,0,1,2,0,0,1,1,2
0006-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0,0,1,2,0,0,1,1,2
0006-F14,5.1.3.0,226-001-BARNES-F14,1,PS,11.6883116883,0,1,1,0,0,1,1,2
0006-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0,0,1,2,0,0,1,1,2
0006-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0,0,1,2,0,0,1,1,2
0006-F14,6.1.3.0,226-001-BARNES-F14,1,PS,-22.7697536109,0,1,1,0,0,1,1,2
0008-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,0,1,1,0,0,1,1,2
0008-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0,0,1,2,0,0,1,1,2
0008-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,0,1,0,0,1,1,1,2
0008-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.7894736842,0,1,2,0,1,1,1,1
0008-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,0,1,1,0,0,1,1,2
0008-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,0,1,2,0,0,1,1,2
0008-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.9416187528,0,1,2,0,0,1,1,1
0008-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0,0,1,1,0,0,1,1,2
0008-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,0,1,2,0,1,1,1,2
